outcome,outcome_label,horizon,shock_type,shock_label,coefficient,se,ci_lower,ci_upper
gini_broad,gini_broad,0,sh_rr,Romer-Romer Monetary Policy Shock,.0008067688421445,.0009689514476418,-.0010923759952334,.0027059136795224
gini_broad,gini_broad,1,sh_rr,Romer-Romer Monetary Policy Shock,.0013106636769113,.0015042083739067,-.0016375847359458,.0042589120897684
gini_broad,gini_broad,2,sh_rr,Romer-Romer Monetary Policy Shock,.0010160505107226,.0024371061535423,-.0037606775502203,.0057927785716655
gini_broad,gini_broad,3,sh_rr,Romer-Romer Monetary Policy Shock,-.0003451380099711,.0036871961692996,-.0075720425017983,.0068817664818561
gini_broad,gini_broad,4,sh_rr,Romer-Romer Monetary Policy Shock,-.0009423194328699,.0036318597138245,-.0080607644719659,.0061761256062261
gini_broad,gini_broad,5,sh_rr,Romer-Romer Monetary Policy Shock,-.0038417945012264,.0039556932477865,-.0115949532668879,.0039113642644351
gini_broad,gini_broad,6,sh_rr,Romer-Romer Monetary Policy Shock,-.007055890265823,.004619051438819,-.0161092310859082,.0019974505542622
gini_broad,gini_broad,7,sh_rr,Romer-Romer Monetary Policy Shock,-.0086436509292601,.0055072967490756,-.0194379525574483,.0021506506989281
gini_broad,gini_broad,8,sh_rr,Romer-Romer Monetary Policy Shock,-.0091732700423811,.0065326183619651,-.0219772020318327,.0036306619470705
gini_broad,gini_broad,9,sh_rr,Romer-Romer Monetary Policy Shock,-.01004975038506,.0074045453393181,-.0245626592501235,.0044631584800035
gini_broad,gini_broad,10,sh_rr,Romer-Romer Monetary Policy Shock,-.0090800601311941,.0069764256005617,-.022753854308295,.0045937340459068
gini_broad,gini_broad,11,sh_rr,Romer-Romer Monetary Policy Shock,-.0083854610401229,.0076346582377183,-.0233493911860508,.006578469105805
gini_broad,gini_broad,12,sh_rr,Romer-Romer Monetary Policy Shock,-.0066669206245331,.0089588736087687,-.0242263128977198,.0108924716486536
