outcome,outcome_label,horizon,shock_type,shock_label,coefficient,se,ci_lower,ci_upper
gini_broad,gini_broad,0,sh_rr,Romer-Romer Monetary Policy Shock,.0008704721617764,.0034775660878496,-.0059455573704088,.0076865016939616
gini_broad,gini_broad,1,sh_rr,Romer-Romer Monetary Policy Shock,.0020090923692981,.0044564031195835,-.0067254577450856,.0107436424836818
gini_broad,gini_broad,2,sh_rr,Romer-Romer Monetary Policy Shock,.0013020181598634,.0040437211178166,-.0066236752310571,.0092277115507839
gini_broad,gini_broad,3,sh_rr,Romer-Romer Monetary Policy Shock,.000339150875784,.0057028973037717,-.0108385278396085,.0115168295911765
gini_broad,gini_broad,4,sh_rr,Romer-Romer Monetary Policy Shock,-.0042448866323861,.0049692623688568,-.0139846408753454,.0054948676105732
gini_broad,gini_broad,5,sh_rr,Romer-Romer Monetary Policy Shock,-.0064835328424427,.0052523799981287,-.016778197638775,.0038111319538896
gini_broad,gini_broad,6,sh_rr,Romer-Romer Monetary Policy Shock,-.0095886937648226,.0031247892596195,-.0157132807136768,-.0034641068159684
gini_broad,gini_broad,7,sh_rr,Romer-Romer Monetary Policy Shock,-.0161357800240794,.0060139875313338,-.0279231955854936,-.0043483644626652
gini_broad,gini_broad,8,sh_rr,Romer-Romer Monetary Policy Shock,-.0181879396539767,.0078682159997053,-.0336096430133991,-.0027662362945543
gini_broad,gini_broad,9,sh_rr,Romer-Romer Monetary Policy Shock,-.0157266882276799,.0090345741373419,-.03343445353687,.0019810770815102
gini_broad,gini_broad,10,sh_rr,Romer-Romer Monetary Policy Shock,-.0160342714505159,.0086011191962558,-.0328924650751773,.0008239221741455
gini_broad,gini_broad,11,sh_rr,Romer-Romer Monetary Policy Shock,-.0170881504657644,.0079922995079021,-.0327530575012525,-.0014232434302763
gini_broad,gini_broad,12,sh_rr,Romer-Romer Monetary Policy Shock,-.0120560205567884,.0129314219542895,-.0374016075871958,.013289566473619
gini_broad,gini_broad,13,sh_rr,Romer-Romer Monetary Policy Shock,-.0111052087133304,.012282178947743,-.0351782794509067,.0129678620242459
gini_broad,gini_broad,14,sh_rr,Romer-Romer Monetary Policy Shock,-.014172396466258,.0101713239700148,-.034108191447487,.005763398514971
gini_broad,gini_broad,15,sh_rr,Romer-Romer Monetary Policy Shock,-.0069437977741553,.0096001591339576,-.0257601096767122,.0118725141284016
gini_broad,gini_broad,16,sh_rr,Romer-Romer Monetary Policy Shock,.0026185302298194,.0091402072669842,-.0152962760134696,.0205333364731084
gini_broad,gini_broad,17,sh_rr,Romer-Romer Monetary Policy Shock,.0053081092075072,.0071842576983214,-.0087730358812027,.0193892542962171
gini_broad,gini_broad,18,sh_rr,Romer-Romer Monetary Policy Shock,.0048978699991497,.0034221840769403,-.0018096107916533,.0116053507899527
gini_broad,gini_broad,19,sh_rr,Romer-Romer Monetary Policy Shock,.0089637379559708,.004557352923002,.0000313262268869,.0178961496850547
gini_broad,gini_broad,20,sh_rr,Romer-Romer Monetary Policy Shock,.0095727951426275,.0029612678254716,.0037687102047032,.0153768800805518
gini_core,gini_core,0,sh_rr,Romer-Romer Monetary Policy Shock,.0008309293552419,.0037337180694689,-.0064871580609171,.0081490167714009
gini_core,gini_core,1,sh_rr,Romer-Romer Monetary Policy Shock,.0034102626195893,.0051017669305651,-.0065892005643183,.0134097258034969
gini_core,gini_core,2,sh_rr,Romer-Romer Monetary Policy Shock,.0008289433055445,.0043652762232374,-.0077269980920008,.0093848847030898
gini_core,gini_core,3,sh_rr,Romer-Romer Monetary Policy Shock,-.0002958362142004,.0057795607908474,-.0116237753642613,.0110321029358605
gini_core,gini_core,4,sh_rr,Romer-Romer Monetary Policy Shock,-.0038761416399701,.0047091116925639,-.0131060005573953,.0053537172774551
gini_core,gini_core,5,sh_rr,Romer-Romer Monetary Policy Shock,-.0071786910508958,.0045396472163785,-.0160763995949977,.0017190174932061
gini_core,gini_core,6,sh_rr,Romer-Romer Monetary Policy Shock,-.0120206030189154,.0030726359281013,-.0180429694379939,-.0059982365998369
