outcome,outcome_label,horizon,shock_type,shock_label,coefficient,se,ci_lower,ci_upper
gini_broad,Gini coefficient - broad consumption,0,sh_rr,Romer-Romer Monetary Policy Shock,.0014247070131224,.0036225297663258,-.0056754513288762,.008524865355121
gini_broad,Gini coefficient - broad consumption,1,sh_rr,Romer-Romer Monetary Policy Shock,.0022143734172344,.004729464870247,-.0070553777284497,.0114841245629185
gini_broad,Gini coefficient - broad consumption,2,sh_rr,Romer-Romer Monetary Policy Shock,.0010820849010277,.0040015908576683,-.0067610331800022,.0089252029820576
gini_broad,Gini coefficient - broad consumption,3,sh_rr,Romer-Romer Monetary Policy Shock,-.0000459008241447,.0054541451505192,-.0107360253191623,.0106442236708729
gini_broad,Gini coefficient - broad consumption,4,sh_rr,Romer-Romer Monetary Policy Shock,-.0047905748598159,.0049618963022855,-.0145158916122955,.0049347418926637
gini_broad,Gini coefficient - broad consumption,5,sh_rr,Romer-Romer Monetary Policy Shock,-.0067115172101195,.0050336700900822,-.0165775105866806,.0031544761664416
gini_broad,Gini coefficient - broad consumption,6,sh_rr,Romer-Romer Monetary Policy Shock,-.0089655085409026,.0033766533387468,-.0155837490848463,-.0023472679969589
gini_broad,Gini coefficient - broad consumption,7,sh_rr,Romer-Romer Monetary Policy Shock,-.0164448223690399,.0058104789302575,-.0278333610723446,-.0050562836657352
gini_broad,Gini coefficient - broad consumption,8,sh_rr,Romer-Romer Monetary Policy Shock,-.0182855553077475,.0074341142861928,-.0328564193086854,-.0037146913068096
gini_broad,Gini coefficient - broad consumption,9,sh_rr,Romer-Romer Monetary Policy Shock,-.0144237234614257,.0086001707205451,-.0312800580736941,.0024326111508427
gini_broad,Gini coefficient - broad consumption,10,sh_rr,Romer-Romer Monetary Policy Shock,-.014919113717484,.0083787016863974,-.0313413690228229,.0015031415878549
gini_broad,Gini coefficient - broad consumption,11,sh_rr,Romer-Romer Monetary Policy Shock,-.0165526486822911,.0080609198917865,-.0323520516701926,-.0007532456943896
gini_broad,Gini coefficient - broad consumption,12,sh_rr,Romer-Romer Monetary Policy Shock,-.0122111050254111,.012760474981119,-.0372216359884043,.0127994259375821
gini_broad,Gini coefficient - broad consumption,13,sh_rr,Romer-Romer Monetary Policy Shock,-.0088020401976361,.0121044418643441,-.0325267462517505,.0149226658564783
gini_broad,Gini coefficient - broad consumption,14,sh_rr,Romer-Romer Monetary Policy Shock,-.0122442895029544,.0107088469475677,-.0332336295201871,.0087450505142783
gini_broad,Gini coefficient - broad consumption,15,sh_rr,Romer-Romer Monetary Policy Shock,-.0080025907119513,.0088912280229118,-.0254293976368584,.0094242162129558
gini_broad,Gini coefficient - broad consumption,16,sh_rr,Romer-Romer Monetary Policy Shock,.0019212981656599,.0081932366037508,-.0141374455776917,.0179800419090115
gini_broad,Gini coefficient - broad consumption,17,sh_rr,Romer-Romer Monetary Policy Shock,.0051782761307261,.0064644485503875,-.0074920430280334,.0178485952894856
gini_broad,Gini coefficient - broad consumption,18,sh_rr,Romer-Romer Monetary Policy Shock,.0050084541275898,.0035269084566075,-.0019042864473609,.0119211947025405
gini_broad,Gini coefficient - broad consumption,19,sh_rr,Romer-Romer Monetary Policy Shock,.0062284489133589,.0049370234339182,-.0034481170171208,.0159050148438386
gini_broad,Gini coefficient - broad consumption,20,sh_rr,Romer-Romer Monetary Policy Shock,.0090522271544499,.0021353335398553,.0048669734163335,.0132374808925663
gini_core,Gini coefficient - core consumption,0,sh_rr,Romer-Romer Monetary Policy Shock,.0019522306716683,.0040108605092831,-.0059090559265266,.0098135172698632
gini_core,Gini coefficient - core consumption,1,sh_rr,Romer-Romer Monetary Policy Shock,.0042113235244545,.005692743565735,-.0069464538643861,.0153691009132951
gini_core,Gini coefficient - core consumption,2,sh_rr,Romer-Romer Monetary Policy Shock,.0009823572599396,.0047165762199884,-.0082621321312377,.0102268466511169
gini_core,Gini coefficient - core consumption,3,sh_rr,Romer-Romer Monetary Policy Shock,-.0005194457694882,.0057363264803243,-.0117626456709238,.0107237541319474
gini_core,Gini coefficient - core consumption,4,sh_rr,Romer-Romer Monetary Policy Shock,-.0043338842706535,.0048623617058222,-.013864113214065,.005196344672758
gini_core,Gini coefficient - core consumption,5,sh_rr,Romer-Romer Monetary Policy Shock,-.0071113548261113,.0044410042808987,-.0158157232166728,.0015930135644502
gini_core,Gini coefficient - core consumption,6,sh_rr,Romer-Romer Monetary Policy Shock,-.0115360828167401,.0034464627817398,-.0182911498689501,-.0047810157645301
gini_core,Gini coefficient - core consumption,7,sh_rr,Romer-Romer Monetary Policy Shock,-.0178629363664762,.005376464310286,-.0284008064146368,-.0073250663183156
gini_core,Gini coefficient - core consumption,8,sh_rr,Romer-Romer Monetary Policy Shock,-.0197368372108076,.0076311211249016,-.0346938346156147,-.0047798398060005
gini_core,Gini coefficient - core consumption,9,sh_rr,Romer-Romer Monetary Policy Shock,-.0153921047372473,.0080558329259596,-.0311815372721281,.0003973277976335
gini_core,Gini coefficient - core consumption,10,sh_rr,Romer-Romer Monetary Policy Shock,-.0160372853040133,.0082145260437627,-.0321377563497882,.0000631857417616
gini_core,Gini coefficient - core consumption,11,sh_rr,Romer-Romer Monetary Policy Shock,-.0168146044400227,.007918135193212,-.0323341494187182,-.0012950594613272
gini_core,Gini coefficient - core consumption,12,sh_rr,Romer-Romer Monetary Policy Shock,-.0121342419137405,.0132159501949742,-.0380375042958899,.0137690204684089
gini_core,Gini coefficient - core consumption,13,sh_rr,Romer-Romer Monetary Policy Shock,-.0089368868293108,.0125412748382089,-.0335177855122002,.0156440118535786
gini_core,Gini coefficient - core consumption,14,sh_rr,Romer-Romer Monetary Policy Shock,-.0136408558762987,.0110663249591294,-.0353308527961923,.0080491410435949
gini_core,Gini coefficient - core consumption,15,sh_rr,Romer-Romer Monetary Policy Shock,-.0082971056694339,.0095057470253104,-.0269283698390423,.0103341585001745
gini_core,Gini coefficient - core consumption,16,sh_rr,Romer-Romer Monetary Policy Shock,.0026201590111056,.0085272340386552,-.0140932197046586,.0193335377268698
gini_core,Gini coefficient - core consumption,17,sh_rr,Romer-Romer Monetary Policy Shock,.0055140548651118,.0063645235124045,-.006960411219201,.0179885209494246
gini_core,Gini coefficient - core consumption,18,sh_rr,Romer-Romer Monetary Policy Shock,.004647176346502,.0036645714644389,-.0025353837237982,.0118297364168022
