outcome,outcome_label,horizon,shock_type,shock_label,coefficient,se,ci_lower,ci_upper
gini_broad,gini_broad,0,sh_rr,Romer-Romer Monetary Policy Shock,.0024411676878144,.0027137971570719,-.0028778747400465,.0077602101156753
gini_broad,gini_broad,1,sh_rr,Romer-Romer Monetary Policy Shock,.0011087696044469,.0037404673185842,-.0062225463399781,.0084400855488719
gini_broad,gini_broad,2,sh_rr,Romer-Romer Monetary Policy Shock,.0002365365618942,.0034986154758678,-.0066207497708067,.0070938228945951
gini_broad,gini_broad,3,sh_rr,Romer-Romer Monetary Policy Shock,.0009150930562917,.0044581665360255,-.0078229133543183,.0096530994669017
gini_broad,gini_broad,4,sh_rr,Romer-Romer Monetary Policy Shock,-.0012971305583189,.0048368927967492,-.0107774404399473,.0081831793233095
gini_broad,gini_broad,5,sh_rr,Romer-Romer Monetary Policy Shock,-.0038721968842318,.0047113360985886,-.0131064156374655,.0053620218690019
gini_broad,gini_broad,6,sh_rr,Romer-Romer Monetary Policy Shock,-.0064763862892009,.0039191695100474,-.0141579585288938,.001205185950492
gini_broad,gini_broad,7,sh_rr,Romer-Romer Monetary Policy Shock,-.0121149419634753,.0052880414714645,-.0224795032475457,-.0017503806794049
gini_broad,gini_broad,8,sh_rr,Romer-Romer Monetary Policy Shock,-.0132951185780777,.0056041523676286,-.0242792572186298,-.0023109799375256
gini_broad,gini_broad,9,sh_rr,Romer-Romer Monetary Policy Shock,-.0100124258519997,.0058440988446905,-.0214668595875931,.0014420078835937
gini_broad,gini_broad,10,sh_rr,Romer-Romer Monetary Policy Shock,-.0120746837067225,.0051234606803319,-.022116666640173,-.002032700773272
gini_broad,gini_broad,11,sh_rr,Romer-Romer Monetary Policy Shock,-.0141444394218045,.0056079870074214,-.0251360939563504,-.0031527848872586
gini_broad,gini_broad,12,sh_rr,Romer-Romer Monetary Policy Shock,-.0118161739734893,.0078257335304484,-.0271546116931682,.0035222637461896
gini_broad,gini_broad,13,sh_rr,Romer-Romer Monetary Policy Shock,-.0060859302788619,.0070200024958674,-.019845135170762,.0076732746130382
gini_broad,gini_broad,14,sh_rr,Romer-Romer Monetary Policy Shock,-.0104935770566905,.0053830071224106,-.0210442710166153,.0000571169032343
gini_broad,gini_broad,15,sh_rr,Romer-Romer Monetary Policy Shock,-.0094498690567866,.0043567291628105,-.0179890582158952,-.000910679897678
gini_broad,gini_broad,16,sh_rr,Romer-Romer Monetary Policy Shock,-.001902085405057,.0049742489876403,-.011651613420832,.007847442610718
gini_broad,gini_broad,17,sh_rr,Romer-Romer Monetary Policy Shock,.0055963229189701,.0041453483775428,-.0025285599010138,.013721205738954
gini_broad,gini_broad,18,sh_rr,Romer-Romer Monetary Policy Shock,.0045650570213739,.0035951998826756,-.0024815347486703,.0116116487914181
gini_broad,gini_broad,19,sh_rr,Romer-Romer Monetary Policy Shock,.0051811969941171,.0044659427270244,-.0035720507508507,.0139344447390849
gini_broad,gini_broad,20,sh_rr,Romer-Romer Monetary Policy Shock,.011210783484479,.0050232432790301,.00136522665758,.021056340311378
gini_core,gini_core,0,sh_rr,Romer-Romer Monetary Policy Shock,.0023475997008941,.0030136893712217,-.0035592314667004,.0082544308684886
gini_core,gini_core,1,sh_rr,Romer-Romer Monetary Policy Shock,.0015750305323103,.004524171670249,-.0072923459413777,.0104424070059983
gini_core,gini_core,2,sh_rr,Romer-Romer Monetary Policy Shock,-.0001205154230671,.0040219737676002,-.0080035840075635,.0077625531614293
gini_core,gini_core,3,sh_rr,Romer-Romer Monetary Policy Shock,.000311667697751,.0048910373352376,-.0092747654793147,.0098981008748167
gini_core,gini_core,4,sh_rr,Romer-Romer Monetary Policy Shock,-.001423935052695,.004765183370125,-.01076369445814,.00791582435275
gini_core,gini_core,5,sh_rr,Romer-Romer Monetary Policy Shock,-.0045257769506065,.0043277292980272,-.0130081263747398,.0039565724735268
gini_core,gini_core,6,sh_rr,Romer-Romer Monetary Policy Shock,-.0065564079042764,.0042943357611011,-.0149733059960346,.0018604901874818
gini_core,gini_core,7,sh_rr,Romer-Romer Monetary Policy Shock,-.0122620979850842,.0051027567395052,-.0222635011945144,-.002260694775654
gini_core,gini_core,8,sh_rr,Romer-Romer Monetary Policy Shock,-.0122692742670036,.0059735891185049,-.0239775089392732,-.000561039594734
